anchor,anchor_family,window_size,phase,length,memory_capacity,perturbation,phase_lag,window_beta,delay_steps,noise_amp,alpha_cutoff_q,effective_offset,direct_best_offset,match_distance,derived_tradeoff,direct_best_tradeoff,tradeoff_gap_to_direct_best,mean_tradeoff,max_tradeoff,mean_retention,mean_pollution,mean_phase_lock,mean_diversity,mean_write,mean_witness,mean_release,autocorr_peak,spectral_peak
silver,metallic_anchor,0.382,0.17,5000,50,noise_small,0.0,0.0,0,0.0015,0,6.938893903907228e-17,-0.011999999999999941,0.0012,0.6108761067881024,0.6312929336316631,-0.02041682684356061,0.6108761067881024,0.6480334871720339,0.8684738955823293,0.000812523901993727,0.3757488654309586,10.0,4286.0,713.0,1.0,0.9611611431558383,0.4475455002972773
silver,metallic_anchor,0.382,0.17,5000,50,noise_big,0.0,0.0,0,0.0045,0,6.938893903907228e-17,-0.011999999999999941,0.0044,0.6214851663234741,0.6312929336316631,-0.009807767308188997,0.6214851663234741,0.6474031668705219,0.9094594594594595,0.0007967210888140206,0.37450507322672816,10.5,4374.75,624.25,1.0,0.9611989157428382,0.4425084502719621
silver,metallic_anchor,0.382,0.17,5000,50,cutoff_34,0.0,0.0,0,0.0,34,-0.059999999999999984,-0.011999999999999941,0.47,0.4977856094116878,0.6312929336316631,-0.13350732421997524,0.4977856094116878,0.5325267680363371,0.8985801217038539,0.043075078682199563,0.5907641639785796,11.0,4555.0,444.0,1.0,0.9926810215782048,0.43058358611206765
silver,metallic_anchor,0.382,0.17,5000,50,cutoff_55,0.0,0.0,0,0.0,55,0.004000000000000073,-0.011999999999999941,0.1682,0.5605212880004282,0.6312929336316631,-0.07077164563123484,0.5605212880004282,0.5865302259464119,0.8916298436756278,0.0011358894508831261,0.4988062626477969,11.0,4404.0,596.0,0.0,0.984427549325962,0.7201763678823999
silver,metallic_anchor,0.382,0.17,5000,50,combo_small,0.018,0.004,3,0.0015,34,-0.007999999999999938,-0.011999999999999941,0.4656,0.613162285285425,0.6312929336316631,-0.01813064834623801,0.613162285285425,0.6226464575704106,1.0,0.045745054505645796,0.44327162321941926,11.5,4753.5,245.5,1.0,0.9674821211613601,0.6508092083357407
silver,metallic_anchor,0.382,0.17,5000,50,combo_big,0.045,0.011,8,0.0045,55,-0.007999999999999938,-0.011999999999999941,0.463,0.6169462607163074,0.6312929336316631,-0.01434667291535563,0.6169462607163074,0.6250843379627017,1.0,0.0421532161529104,0.431500831006061,11.75,4769.75,229.25,1.0,0.9653563241739256,0.6654482398239219
silver,metallic_anchor,0.382,0.17,5000,100,phase_small,0.015,0.0,0,0.0,0,6.938893903907228e-17,-0.011999999999999941,0.03,0.588813242450177,0.615892933631663,-0.02707969118148601,0.588813242450177,0.6315814861448591,0.8333333333333334,0.0006854592963915797,0.37653739323816837,10.0,4285.0,714.0,1.0,0.9617622315594407,0.450098523122514
silver,metallic_anchor,0.382,0.17,5000,100,phase_big,0.045,0.0,0,0.0,0,6.938893903907228e-17,-0.011999999999999941,0.09,0.5891154705438709,0.615892933631663,-0.026777463087792053,0.5891154705438709,0.6320562425427347,0.8326291079812207,0.0009204535427343207,0.3765475994228494,10.0,4285.0,715.0,0.0,0.9617622315594407,0.4501393478612381
silver,metallic_anchor,0.382,0.17,5000,100,window_drift_small,0.0,0.004,0,0.0,0,-0.003999999999999934,-0.011999999999999941,0.0,0.5741093195701068,0.615892933631663,-0.041783614061556174,0.5741093195701068,0.5816342291505898,1.0,0.038759868195962215,0.5027395817518628,11.5,4677.0,322.0,1.0,0.9832117022713487,0.6189059378574566
silver,metallic_anchor,0.382,0.17,5000,100,window_drift_big,0.0,0.011,0,0.0,0,0.07200000000000013,-0.011999999999999941,0.463,0.6027040898802796,0.615892933631663,-0.013188843751383406,0.6027040898802796,0.6123072971171217,1.0,0.05972450657894737,0.4047687844302709,11.0,4864.0,84.0,52.0,0.9812945489258211,0.3801638792138018
silver,metallic_anchor,0.382,0.17,5000,100,delay_3,0.0,0.0,3,0.0,0,0.0320000000000001,-0.011999999999999941,0.468,0.5889956610721201,0.615892933631663,-0.026897272559542884,0.5889956610721201,0.6317490405467541,0.8334905660377359,0.000812523901993727,0.3758943737557205,10.0,4286.0,713.0,1.0,0.9598649208579106,0.4494719731370401
silver,metallic_anchor,0.382,0.17,5000,100,delay_8,0.0,0.0,8,0.0,0,0.0320000000000001,-0.011999999999999941,0.4676,0.5931638429947014,0.615892933631663,-0.022729090636961602,0.5931638429947014,0.6374350995483306,0.8327863406856232,0.0016057834454590257,0.3752809928170026,13.0,4285.0,715.0,0.0,0.9579838922959397,0.4489718038083204
silver,metallic_anchor,0.382,0.17,5000,100,noise_small,0.0,0.0,0,0.0015,0,6.938893903907228e-17,-0.011999999999999941,0.0012,0.5968761067881025,0.615892933631663,-0.01901682684356043,0.5968761067881025,0.631233487172034,0.8684738955823293,0.000812523901993727,0.3757488654309586,10.0,4286.0,713.0,1.0,0.9611611431558383,0.4475455002972773
silver,metallic_anchor,0.382,0.17,5000,100,noise_big,0.0,0.0,0,0.0045,0,6.938893903907228e-17,-0.011999999999999941,0.0044,0.6067851663234741,0.615892933631663,-0.009107767308188852,0.6067851663234741,0.630603166870522,0.9094594594594595,0.0007967210888140206,0.37450507322672816,10.5,4374.75,624.25,1.0,0.9611989157428382,0.4425084502719621
silver,metallic_anchor,0.382,0.17,5000,100,cutoff_34,0.0,0.0,0,0.0,34,-0.059999999999999984,-0.011999999999999941,0.47,0.4823856094116878,0.615892933631663,-0.1335073242199752,0.4823856094116878,0.5157267680363371,0.8985801217038539,0.043075078682199563,0.5907641639785796,11.0,4555.0,444.0,1.0,0.9926810215782048,0.43058358611206765
silver,metallic_anchor,0.382,0.17,5000,100,cutoff_55,0.0,0.0,0,0.0,55,0.004000000000000073,-0.011999999999999941,0.1682,0.5451212880004283,0.615892933631663,-0.07077164563123473,0.5451212880004283,0.5711302259464119,0.8916298436756278,0.0011358894508831261,0.4988062626477969,11.0,4404.0,596.0,0.0,0.984427549325962,0.7201763678823999
